Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,441
design__inferred_latch__count,0
design__instance__count,845
design__instance__area,6049.55
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0015775492647662759
power__switching__total,0.0014974406221881509
power__leakage__total,6.890750192667383E-9
power__total,0.0030749968718737364
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2541072424401859
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2540261961570961
timing__hold__ws__corner:nom_tt_025C_1v80,0.3252082029052539
timing__setup__ws__corner:nom_tt_025C_1v80,3.6607149459004957
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.325208
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25694211374701503
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25686617448998295
timing__hold__ws__corner:nom_ss_100C_1v60,0.7531668835117332
timing__setup__ws__corner:nom_ss_100C_1v60,-0.10168222107671875
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.16865798124366965
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.10168222107671875
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.886276
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.428262
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2535436099502187
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25345920524238447
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11879672581898101
timing__setup__ws__corner:nom_ff_n40C_1v95,5.177311614853852
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118797
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2531765979634734
clock__skew__worst_setup,0.2530808967360441
timing__hold__ws,0.11519535651427264
timing__setup__ws,-0.15094770305396826
timing__hold__tns,0.0
timing__setup__tns,-0.3653655259531848
timing__hold__wns,0
timing__setup__wns,-0.15094770305396826
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115195
timing__hold_r2r_vio__count,0
timing__setup_vio__count,9
timing__setup_r2r__ws,6.384326
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 122.38 133.1
design__core__bbox,5.52 10.88 116.84 119.68
design__io,38
design__die__area,16288.8
design__core__area,12111.6
design__instance__count__stdcell,845
design__instance__area__stdcell,6049.55
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.499483
design__instance__utilization__stdcell,0.499483
design__instance__count__class:inverter,11
design__instance__count__class:sequential_cell,37
design__instance__count__class:multi_input_combinational_cell,507
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,857
design__instance__count__class:tap_cell,168
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,36
design__io__hpwl,2947869
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,11914
design__violations,0
design__instance__count__class:timing_repair_buffer,114
design__instance__count__class:clock_buffer,7
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,34
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,693
route__net__special,2
route__drc_errors__iter:1,249
route__wirelength__iter:1,12879
route__drc_errors__iter:2,73
route__wirelength__iter:2,12750
route__drc_errors__iter:3,94
route__wirelength__iter:3,12718
route__drc_errors__iter:4,11
route__wirelength__iter:4,12732
route__drc_errors__iter:5,0
route__wirelength__iter:5,12712
route__drc_errors,0
route__wirelength,12712
route__vias,4499
route__vias__singlecut,4499
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,183.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25360478324060565
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.253512246148886
timing__hold__ws__corner:min_tt_025C_1v80,0.320244340110616
timing__setup__ws__corner:min_tt_025C_1v80,3.6868114049661833
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
